date,CA_1_HOBBIES,CA_1_HOUSEHOLD,CA_1_FOODS,CA_2_HOBBIES,CA_2_HOUSEHOLD,CA_2_FOODS,CA_3_HOBBIES,CA_3_HOUSEHOLD,CA_3_FOODS,CA_4_HOBBIES,CA_4_HOUSEHOLD,CA_4_FOODS,TX_1_HOBBIES,TX_1_HOUSEHOLD,TX_1_FOODS,TX_2_HOBBIES,TX_2_HOUSEHOLD,TX_2_FOODS,TX_3_HOBBIES,TX_3_HOUSEHOLD,TX_3_FOODS,WI_1_HOBBIES,WI_1_HOUSEHOLD,WI_1_FOODS,WI_2_HOBBIES,WI_2_HOUSEHOLD,WI_2_FOODS,WI_3_HOBBIES,WI_3_HOUSEHOLD,WI_3_FOODS
2011-01-29,1369.910000000001,2322.6000000000026,7240.64999999999,1031.8100000000004,3357.57,4712.140000000006,1244.9200000000008,3243.8299999999995,7191.079999999994,575.9300000000001,1109.9700000000007,2875.690000000008,759.9900000000005,1876.3400000000026,3950.350000000004,1294.0400000000009,2743.8400000000015,5877.899999999997,850.8100000000001,2065.9100000000017,4681.270000000007,1234.8200000000004,2265.400000000003,2954.500000000003,603.5600000000002,1942.9800000000018,2904.920000000002,830.1600000000008,2876.72,5661.0
2011-01-30,907.6400000000001,2173.91,6705.510000000002,902.5799999999999,3341.3900000000003,4173.560000000006,1141.1700000000003,3624.940000000001,7395.350000000003,460.93999999999994,1197.2500000000014,3023.2200000000043,701.5899999999998,2064.040000000002,3844.9700000000053,1273.430000000001,2799.809999999998,5731.299999999997,799.8000000000002,1930.8500000000024,4625.890000000002,1123.1100000000001,2044.3000000000036,2478.3600000000024,429.96000000000004,1723.6800000000023,2483.220000000001,805.6300000000001,3057.480000000001,6005.6900000000005
2011-01-31,937.64,1678.8900000000024,4584.850000000002,739.5800000000002,1950.0600000000022,2630.870000000004,932.4700000000004,2659.580000000003,5531.809999999996,466.5100000000002,921.800000000001,2249.6700000000005,401.6700000000002,1262.2700000000011,2888.0300000000066,841.2299999999998,1817.2500000000016,3992.680000000006,607.0200000000004,1305.9700000000018,3493.710000000007,702.5899999999997,1161.3000000000015,1776.2300000000007,480.35,1278.3800000000012,2862.8500000000017,610.96,2016.6500000000015,4924.040000000003
2011-02-01,779.97,1662.3100000000013,4965.460000000003,867.8600000000002,1956.950000000003,2725.750000000004,965.1600000000002,3025.460000000001,6259.159999999999,564.32,822.8200000000008,2321.7800000000025,479.4000000000001,1263.710000000001,3631.2800000000075,777.0100000000002,1674.630000000002,4533.960000000003,673.1700000000002,1219.4900000000018,3705.310000000005,490.42000000000013,856.5500000000005,1602.9900000000005,472.63000000000005,1599.6800000000014,3682.440000000005,629.2600000000003,1595.5700000000015,4956.700000000003
2011-02-02,673.9300000000003,1524.1200000000022,4368.070000000002,829.3700000000005,1680.570000000002,2719.7800000000047,1056.0800000000006,2843.3900000000012,5639.179999999999,479.46999999999997,743.7100000000013,2617.9600000000023,357.22999999999996,917.6600000000007,3072.1800000000067,830.0000000000006,1464.620000000002,3744.430000000007,487.97,656.0100000000007,2925.7600000000048,0.0,0.0,2.96,209.03999999999996,525.19,1944.9600000000019,214.79,911.8900000000014,3519.6300000000047
2011-02-03,989.9799999999998,1708.3300000000024,5247.419999999999,869.0899999999997,1807.3700000000026,3046.420000000004,1034.9900000000005,2802.329999999999,6569.939999999998,418.1200000000001,753.390000000001,2248.950000000003,643.4900000000002,1298.660000000002,4827.6700000000055,757.3000000000002,1727.3200000000018,5878.619999999998,682.2100000000004,1170.160000000002,5023.590000000004,859.0699999999999,1422.550000000003,2303.270000000002,392.8200000000002,1468.7300000000014,3389.220000000005,756.11,2061.230000000002,7219.029999999995
2011-02-04,920.0700000000004,1806.2400000000027,5820.449999999995,893.5000000000001,2504.680000000001,3700.8500000000045,1241.4400000000007,3279.3700000000003,7119.2799999999925,396.28000000000003,1001.590000000001,2567.970000000003,345.16999999999996,1225.0100000000014,2865.6600000000017,711.2500000000006,1850.250000000003,4046.6300000000024,554.0200000000004,1403.0200000000025,3003.560000000004,1186.7800000000004,1810.6400000000028,2927.9500000000053,561.7400000000004,1794.7400000000007,3196.1700000000023,1046.6600000000003,2669.160000000001,6338.929999999997
2011-02-05,1696.9000000000008,3127.040000000001,8551.459999999986,1120.3600000000004,4443.329999999997,4833.12,1333.49,3832.279999999999,8555.889999999985,486.36,1193.5900000000017,3310.9500000000044,674.8700000000002,2105.700000000002,4446.090000000001,887.5800000000004,2767.9699999999993,6162.4800000000005,713.46,1794.2100000000028,4410.580000000004,1599.7299999999993,2718.8000000000015,3534.080000000003,685.4300000000002,1744.4600000000012,3912.830000000002,910.7400000000004,3287.4300000000003,8606.539999999995
2011-02-06,1064.8700000000003,2090.7000000000016,7435.8599999999915,970.1400000000001,3112.110000000001,4206.000000000004,1103.7600000000004,3615.4300000000017,9742.959999999988,515.74,923.6000000000013,3274.750000000004,711.5100000000003,2163.480000000001,4991.760000000005,1067.9700000000003,2655.600000000002,6406.710000000001,851.2900000000005,1878.8800000000026,4825.620000000002,786.7500000000006,1173.9300000000019,2070.070000000002,286.9199999999999,1115.0800000000006,3370.5700000000006,670.7400000000001,2182.7500000000023,8232.009999999995
2011-02-07,751.9100000000002,1416.7900000000027,5535.839999999998,805.8400000000001,2061.6500000000037,3119.610000000006,943.2700000000002,3092.170000000003,7905.049999999994,475.5200000000001,793.2300000000008,2716.420000000005,420.09999999999997,1484.9400000000023,3551.2500000000055,973.6200000000003,1966.9200000000017,4933.460000000001,525.41,1342.1400000000017,4053.040000000007,785.3900000000006,1343.5600000000018,1659.980000000001,347.9199999999999,1433.500000000001,2907.3400000000024,706.1200000000001,1852.7700000000016,5259.94
